epoch,experiment,param_count,train_accuracy,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
35,convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,200.13,0.915887833,0.941252291,0.231054962,0.94299674,0.942905843,0.944444418,0.946128011,0.188604489,0.962962985,0.930283248
42,convnext_large_mlp.clip_laion2b_augreg_ft_in1k,200.13,0.855140209,0.896236122,0.308162004,0.901380002,0.894078553,0.92592591,0.934156358,0.216290191,0.906432748,0.965141594
41,convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,200.13,0.901869178,0.933866978,0.24936527,0.914217889,0.957023203,0.944444418,0.946128011,0.224089608,0.962962985,0.930283248
42,convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,200.13,0.883177578,0.919881105,0.249252424,0.924610734,0.92008096,0.92592591,0.936653435,0.227742448,0.962962985,0.911764681
39,mobileone_s3.apple_in1k,10.17,0.873831749,0.917770684,0.345475316,0.880859435,0.96433562,0.888888896,0.910445333,0.265433818,0.881481469,0.946623087
45,convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,88.59,0.878504694,0.916005373,0.306902885,0.889045835,0.947435975,0.833333313,0.874236941,0.26581949,0.838383853,0.92810452
35,convnextv2_large.fcmae_ft_in22k_in1k_384,197.96,0.855140209,0.90560925,0.348540574,0.872573793,0.943687201,0.944444418,0.955667019,0.265963733,0.965141594,0.946623087
49,mobilevitv2_200.cvnets_in22k_ft_in1k_384,18.45,0.906542063,0.936132371,0.341320992,0.946579933,0.930011809,0.944444418,0.95348841,0.267128199,1.0,0.911764681
44,convnext_large.fb_in22k_ft_in1k_384,197.77,0.855140209,0.904414952,0.348777086,0.872282565,0.944741428,0.851851881,0.87841332,0.300286144,0.851851881,0.911764681
37,convnextv2_base.fcmae_ft_in22k_in1k_384,88.72,0.808411241,0.872091234,0.374288797,0.838817477,0.914668739,0.907407403,0.904420495,0.304609656,0.957672,0.860566437
23,convnextv2_huge.fcmae_ft_in22k_in1k_384,660.29,0.82710278,0.890656829,0.360920072,0.829358399,0.967942119,0.870370388,0.866188765,0.306557894,0.91534394,0.825708032
49,convnext_tiny.in12k_ft_in1k_384,28.59,0.8457943797111511,0.9018760919570924,0.3834955096244812,0.8541542887687683,0.9577563405036926,0.8888888955116272,0.9064327478408812,0.3090965747833252,0.8589065074920654,0.9651415944099426
21,convnextv2_large.fcmae_ft_in22k_in1k,197.96,0.859813094,0.908428371,0.379089504,0.858149588,0.969640672,0.833333313,0.875968993,0.313701421,0.794871807,1.0
